"Timestamp","1. What is your age group?","2. What is your gender?","3. Which province or territory do you currently live in?","4. What is your highest level of education?","5. What is your current employment status?","6. What is your approximate annual household income (before tax)?","7. Do you own or regularly use a smartphone?","8. In the past 3 months, have you used the Internet to do any of the following?","9. How many hours per week do you usually spend on the Internet (for all purposes)?","10. How often do you use social media?","11. Have you ever taken a break or reduced your social media/internet use because you felt you were spending too much time online?","12. How confident do you feel doing most things online (e.g., managing privacy, posting, using apps)?","13. Has your online or social media use negatively affected your personal relationships?","14. Has your online or social media use negatively affected your school, work, or sleep?","15. How would you rate your overall mental health?","16. Overall, how satisfied are you with your life?","17) What do you usually do to maintain your mental well-being? (Optional short answer)"
"2025/11/11 7:30:56 AM EST","35–44","Female","Ontario","Other","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","Less than 10 hours","Daily","No","Confident","No","Sleep","Excellent","9","rest more often"
"2025/11/12 8:59:04 AM EST","25–34","Male","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","20 hours or more","A few times a week","No","Very confident","No","Sleep","Good","8","Go on walks, socialize with friends in the area"
"2025/11/12 3:27:25 PM EST","35–44","Female","Ontario","Bachelor’s degree","Employed full-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","8-12 hours","Several times a day","No","Somewhat confident","Yes","Sleep","Very good","8","Listen to podcast , go to church , run "
"2026/01/27 11:36:13 AM EST","15–24","Female","Ontario","Other","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","Less than 5 hours","Several times a day","Yes","Somewhat confident","Yes","School/work;Sleep","Very good","10","Meditation"
"2026/01/27 11:36:22 AM EST","25–34","Male","Ontario","College diploma","Employed part-time","$40,000 – $69,999","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","12+ Hours","Daily","No","Somewhat confident","No","Sleep","Good","7","Take walks, meditate, companionship"
"2026/01/27 11:36:42 AM EST","25–34","Male","Ontario","Graduate degree","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","12+ Hours","Several times a day","Yes","Not at all confident","Yes","School/work;Sleep;None of these","Very good","6","Sleep "
"2026/01/27 11:37:07 AM EST","25–34","Male","Ontario","College diploma","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","Less than 5 hours","Less than once a week","No","Confident","No","Sleep","Good","6","Yoga"
"2026/01/27 11:37:23 AM EST","35–44","Female","Ontario","Bachelor’s degree","Employed full-time","Less than $40,000","Yes","Send or receive emails;Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","Less than 5 hours","Several times a day","Yes","Somewhat confident","No","Sleep","Very good","8","Read , Exercise , Listen to Music"
"2026/01/27 11:37:41 AM EST","25–34","Male","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.);Upload content you created (blog posts, videos, photos, etc.)","5-8 hours","Daily","No","Not at all confident","Yes","School/work;Sleep","Good","5","Optional"
"2026/01/27 11:38:25 AM EST","25–34","Male","Ontario","Graduate degree","Student","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.);Make video or voice calls (Zoom, Meet, FaceTime, etc.)","8-12 hours","Several times a day","Yes","Somewhat confident","Yes","Sleep","Fair","7","I watch series,cook something,do self care,sleep"
"2026/01/27 11:38:31 AM EST","15–24","Male","Ontario","Bachelor’s degree","Employed part-time","Less than $40,000","Yes","Send or receive emails;Use instant messaging (Messenger, WhatsApp, Signal, etc.);Use social networking sites (Instagram, TikTok, Facebook, X/Twitter, etc.)","5-8 hours","A few times a week","Yes","Not at all confident","No","None of these","Excellent","8","I play video games"
